CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
EU27.1.0.0.0.OKND;European Union;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25868.11;26362.73;26880.34;27468.22;28115.77;28808.96;29469.23;30052.59;30621.64;31213.98;31839.83;32563.11;33387.40;34152.74;34582.59;34971.68;35385.69;35708.51;35961.32;36238.11;36579.15;36960.90;37401.91;37891.26;38505.02;38913.78;39379.54;39906.90;40417.52;40964.94                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
EU15.1.0.0.0.OKND;European Union (15 countries);01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26717.24;27359.07;27861.04;28375.64;28911.34;29465.76;30029.05;30669.80;31369.22;32119.96;32832.32;33468.55;34086.75;34723.63;35386.31;36133.28;36953.87;37676.57;38051.18;38410.61;38778.23;39060.53;39290.13;39556.73;39893.66;40302.97;40769.13;41258.66;41860.36;42211.61;42641.50;43142.97;43611.36;44119.05                                                                                                                                                                                                                                                                                                                                                                                                                                
EA19.1.0.0.0.OKND;Euro area;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23176.23;23625.99;24090.37;24617.54;25204.03;25828.68;26426.19;26954.91;27466.79;27992.14;28537.59;29156.26;29842.63;30461.61;30800.10;31109.76;31433.64;31672.10;31846.23;32029.59;32259.36;32541.68;32870.90;33233.02;33711.86;33992.50;34321.70;34700.83;35070.41;35475.92                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
EA20.1.0.0.0.OKND;Euro area (20 countries);01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23236.38;23686.81;24152.93;24681.76;25269.84;25895.60;26493.80;27024.20;27538.96;28067.01;28616.25;29239.07;29929.86;30554.03;30895.62;31206.70;31531.74;31771.19;31946.49;32130.83;32361.87;32645.71;32976.52;33340.59;33821.74;34104.05;34435.22;34817.15;35189.66;35598.25                                                                                                                                                                                                                                                                                                                                                                                                                                                             
EA12.1.0.0.0.OKND;Euro area (12 countries);01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21084.52;21639.23;22068.42;22502.01;22950.17;23397.63;23856.82;24376.25;24956.93;25577.69;26168.62;26690.32;27194.46;27709.38;28240.07;28839.43;29501.15;30097.78;30429.76;30734.31;31049.46;31281.67;31449.98;31627.65;31848.16;32122.82;32441.45;32790.63;33254.96;33523.85;33839.51;34206.40;34563.15;34954.89                                                                                                                                                                                                                                                                                                                                                                                                                                     
DU15.1.0.0.0.OKND;EU15 (including D_W West-Germany);01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;9551.85;9912.65;10292.30;10678.11;11124.16;11589.14;12067.79;12556.14;13088.08;13671.01;14303.57;14955.16;15628.96;16337.42;16983.65;17525.83;18058.07;18583.94;19115.78;19679.40;20242.15;20722.55;21155.11;21570.13;21984.95;22415.29;22871.60;23380.24;23987.29;24676.71;25387.59;26037.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                          
DA12.1.0.0.0.OKND;EA12 (including D_W West-Germany);01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd ECU/EUR, Standard aggregation;6818.74;7118.82;7438.26;7760.90;8123.87;8502.18;8894.86;9287.27;9709.02;10182.04;10693.70;11223.40;11773.84;12355.80;12897.28;13361.89;13822.19;14282.34;14742.46;15222.34;15718.65;16156.50;16540.79;16899.24;17237.79;17580.00;17945.28;18337.17;18797.44;19313.06;19866.77;20404.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BEL.1.0.0.0.OKND;Belgium;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd EURO-BEF;289.474;297.463;306.651;315.179;326.772;339.046;352.627;366.569;378.946;391.950;406.939;421.157;434.730;450.537;468.252;485.867;504.572;521.791;539.182;555.025;573.735;584.092;592.287;597.574;603.406;610.580;618.415;627.860;643.717;664.682;689.288;709.577;729.127;745.828;761.643;777.723;792.498;809.644;826.484;843.963;862.916;880.819;893.424;903.795;918.560;935.514;951.954;972.348;992.483;1004.754;1015.627;1029.619;1042.879;1053.394;1067.626;1084.267;1103.639;1123.653;1145.240;1170.234;1187.576;1208.719;1227.758;1246.041;1265.741                                                                                                                                                                                                                                                                                                                                   
BGR.1.0.0.0.OKND;Bulgaria;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd BGN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;119.3051;118.5021;120.0891;121.8631;123.7695;125.7200;129.0491;132.2361;135.5260;140.0687;147.6545;157.0545;168.3451;184.9689;195.7044;201.3360;206.7509;212.7945;219.0548;224.5634;230.4940;234.5626;238.8962;243.9503;249.5696;254.9792;258.4107;260.1783;262.7688;266.4514                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CZE.1.0.0.0.OKND;Czechia;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd CZK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8550.26;8900.38;9178.22;9426.98;9644.42;9893.49;10167.85;10431.81;10691.37;10969.84;11288.15;11628.26;12060.18;12466.12;12744.18;13003.72;13250.21;13457.45;13623.77;13807.56;14077.81;14284.95;14530.98;14868.18;15252.65;15511.56;15757.82;16059.12;16367.45;16672.53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DNK.1.0.0.0.OKND;Denmark;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd DKK;1673.725;1713.405;1756.069;1792.520;1846.370;1901.114;1957.101;2018.145;2080.963;2159.113;2238.017;2314.237;2401.668;2496.804;2575.299;2634.662;2717.422;2795.099;2873.598;2949.485;3001.833;3022.558;3052.517;3085.269;3129.842;3193.701;3285.247;3374.481;3441.076;3503.345;3557.396;3597.049;3626.185;3640.920;3663.908;3704.252;3751.499;3815.029;3890.565;3957.689;4043.946;4119.529;4179.318;4234.446;4293.184;4369.790;4493.295;4611.594;4699.750;4735.749;4743.522;4755.204;4778.952;4813.123;4859.002;4924.808;5017.459;5121.745;5235.393;5328.275;5436.922;5571.568;5720.084;5846.629;5964.189                                                                                                                                                                                                                                                                                       
DEU.1.0.0.0.OKND;Germany;01 Net capital stock at constant prices, total economy;Net capital stock at 2015 prices: total economy ;Mrd EURO-DEM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6345.500;6537.880;6695.010;6859.760;7014.440;7156.750;7291.980;7436.250;7589.620;7740.270;7861.650;7938.690;7999.410;8051.890;8102.150;8181.930;8269.620;8353.820;8374.960;8417.540;8492.850;8558.370;8609.560;8672.310;8735.380;8812.090;8894.860;8988.090;9081.490;9148.720;9216.410;9281.880;9338.970;9407.720                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
